timeStamp,*.*..www00...www.denominator,us-east-1.*..cloudfront00...cloudfront.monolith,us-east-1.*..webserver-elb00...webserver-elb.elb,us-east-1.zoneA..webserver09...webserver.monolith,us-east-1.*..appserver-elb00...appserver-elb.elb,us-east-1.zoneB..appserver04...appserver.monolith,us-east-1.zoneB..rdsmysql01...rdsmysql.store,us-east-1.*..content-s300...content-s3.store,us-east-1.zoneB..webserver10...webserver.monolith,us-east-1.zoneA..rdsmysql00...rdsmysql.store,us-east-1.zoneB..webserver01...webserver.monolith,us-east-1.zoneA..appserver03...appserver.monolith,us-east-1.zoneA..webserver06...webserver.monolith,us-east-1.zoneC..appserver02...appserver.monolith,us-east-1.zoneB..webserver07...webserver.monolith,us-east-1.zoneA..webserver00...webserver.monolith,us-east-1.zoneA..webserver03...webserver.monolith,us-east-1.zoneA..appserver00...appserver.monolith,us-east-1.zoneB..appserver01...appserver.monolith,us-east-1.zoneC..webserver11...webserver.monolith,us-east-1.zoneB..webserver04...webserver.monolith,us-east-1.zoneC..appserver05...appserver.monolith,us-east-1.zoneC..webserver08...webserver.monolith,us-east-1.zoneC..webserver02...webserver.monolith,us-east-1.zoneC..webserver05...webserver.monolith,tag
72,0.163,0.114,0.103,0.08,0.04875,0.026,0.009,0.012,0,0.007333333,0.082,0.014,0,0,0,0,0,0,0.0255,0.068,0.082,0,0,0,0,0
73,0.142666667,0.095333333,0.0955,0,0.041,0,0,0.009,0,0.009,0,0,0.064,0,0,0,0,0.023,0,0,0,0.017,0.08,0,0,0
74,0.11625,0.07025,0.085,0.067,0.037,0,0.005,0.0065,0,0,0,0,0,0,0,0,0,0.0175,0,0,0,0,0,0,0.057,0
75,0.075,0.0275,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0.175,0.11,0,0,0,0,0,0.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0.138,0.081,0.128,0,0.0605,0,0.021,0.009,0,0.011,0,0.037,0,0,0,0.105,0,0.027,0,0,0,0,0.088,0,0,0
78,0.13275,0.08675,0.111,0.08,0.0525,0.021,0.009,0.0085,0,0,0,0,0,0,0,0,0,0.028,0,0.089,0,0,0,0,0,0
79,0.110333333,0.064,0.1,0,0.051,0,0,0.0085,0,0.007,0,0,0,0.026,0,0,0,0,0,0,0,0,0,0.078,0,0
80,0.081333333,0.039,0.058,0,0.029,0,0,0.008,0,0.008,0,0,0,0.016,0,0,0,0,0,0.044,0,0,0,0,0,0
81,0.102,0.0525,0.101,0.077,0.05,0,0.007,0.008666667,0,0,0,0,0,0,0,0,0,0,0.022,0,0,0,0,0,0,0
82,0.0994,0.0605,0.125,0,0.055,0,0.01,0.009666667,0,0,0,0,0,0,0.098,0,0,0,0,0,0,0.026,0,0,0,0
83,0.142,0.0768,0.1175,0,0.0585,0,0.011,0.01,0,0.012,0,0,0,0.03,0,0,0.093,0,0.027,0,0,0,0,0,0.088,0
84,0.12425,0.08225,0.106,0.089,0.0535,0.022,0,0.0135,0,0.0115,0,0,0,0,0.075,0,0,0,0,0,0,0.031,0,0,0,0
85,0.3715,0.155,0.103,0.073,0.046,0,0,0.038,0,0.006,0,0,0,0,0,0,0,0.021,0,0,0,0,0,0,0,0
86,0.156,0.107333333,0.1075,0,0.047,0,0.0065,0.011,0,0,0,0.022,0.082,0,0,0.077,0,0,0,0,0,0.02,0,0,0,0
87,0.17725,0.13525,0.10175,0.075,0.04575,0,0.0065,0,0,0,0,0,0,0.02,0,0,0,0.022333333,0,0,0.074,0,0.074,0,0.078,0
88,0.127,0.0825,0.11,0,0.05,0,0,0.006,0,0.012,0,0,0,0,0,0,0,0.026,0,0,0,0,0,0,0.082,0
89,0.077,0.032,0,0,0,0,0,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,37.68,37.63175,75.2075,0.081,75.145,0,0,0.0105,0,0.011,0,0,0,0,150.281,0,0,0.026,0,0,0,0,0,0,0,1
91,0.11075,0.05675,0.105,0,0.048,0,0.008,0.010333333,0.08,0,0,0,0,0,0,0,0,0.023,0,0,0,0,0,0,0,0
92,0.198,0.144,0.11,0,0.05,0,0,0,0,0.01,0,0.025,0.082,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0.0888,0.0448,0.102,0,0.044,0,0.008,0.007,0,0.005,0,0,0.077,0,0,0,0,0.02,0,0,0,0.028,0,0,0,0
94,0.12475,0.079,0.104,0,0.051,0.026,0,0.0055,0,0.009,0,0,0.082,0,0,0,0,0.022,0,0,0,0,0.078,0,0,0
95,0.13725,0.0845,0.11,0,0.0535,0,0.007,0.008,0.088,0,0,0,0,0,0.079,0,0,0.023,0,0,0,0.021,0,0,0,0
96,0.068,0.023333333,0,0,0,0,0,0.007666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0.215666667,0.162666667,0.387,0,0.049,0.022,0.007,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077,0
98,0.073,0.0255,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0.109,0.0545,0,0,0,0,0,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,25.40325,25.35075,33.74666667,0,33.46133333,0.062,0.0235,0.011,50.271,0,0,0,0,100.175,0,0,0,0,0,0,0.084,0.025,0,0,0,1
101,0.116666667,0.066333333,0.106,0,0.048,0,0.006,0.009,0,0,0,0,0,0,0,0,0,0.021,0,0,0.08,0,0,0,0,0
102,12.4118,12.366,12.3336,0.078,12.2404,0.021,0.008,0,30.506,0.01725,0,0,0,30.204,0.084,0,0,10.107,10.241,0,15.426,0,0,0,0,0
103,0.107666667,0.066333333,0.114,0,0.047,0,0,0.0125,0,0.006,0,0.02,0,0,0,0.086,0,0,0,0,0,0,0,0,0,0
104,0.2695,0.22275,0.247666667,0,0.073,0.042,0,0.008,0,0.011333333,0,0,0,0,0,0.078,0.225,0.025,0.021,0,0.083,0,0,0,0,0
105,0.186666667,0.132666667,0.098666667,0,0.043333333,0,0.005,0,0.065,0.005,0,0,0,0,0,0,0.074,0,0.02,0,0,0.018,0,0,0.07,0
106,0.164666667,0.121,0.091666667,0.06,0.042666667,0,0.006,0,0,0.005,0,0.019,0,0.019,0,0,0,0.017,0,0,0.074,0,0.075,0,0,0
107,0.1435,0.1015,0.099,0,0.043,0.022,0.011,0.004,0.063,0.007,0,0.024,0.074,0,0,0,0,0,0,0,0,0.013,0,0,0.068,0
108,0.071,0.022333333,0,0,0,0,0,0.006333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,0.2585,0.21175,0.229,0,0.161666667,0,0.119666667,0.008,0,0,0,0.01,0.074,0.021,0.048,0,0,0,0.368,0,0,0,0,0.458,0,0
110,0.127,0.068333333,0.11,0,0.047,0,0.006,0.012,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.076,0,0
111,25.1745,25.10075,100.301,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
112,45.387,45.34,45.302,0,0.054,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0.023,0,0.092,0,0,0,0,0
113,25.3305,25.2715,33.63633333,0.444,20.1366,0,0.013,0.008,0,0.006,0.2205,0,0,0,0,0,0,0.102,0.021,100.277,0,0.043,0,0.08,0,1
114,0.1632,0.1198,0.10925,0.076,0.0475,0,0.008666667,0.01,0,0.005,0,0,0.079,0,0.083,0,0,0,0.019,0,0,0.023666667,0,0,0,0
115,0.1195,0.0755,0.089,0,0.037,0.013,0,0.007,0,0.007,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0.062,0
116,0.145333333,0.100666667,0.106,0,0.0465,0,0.006,0.007,0,0,0,0.02,0,0,0,0,0.081,0,0.018,0.077,0,0,0,0,0,0
117,0.16625,0.11675,0.106333333,0,0.048666667,0,0.007,0.012,0,0.005,0.075,0,0,0.021333333,0,0,0,0,0,0.077,0,0,0,0,0.081,0
118,0.14225,0.08625,0.103,0,0.049,0,0.0075,0.0145,0,0,0.08,0,0,0,0,0,0,0,0.022,0.074,0,0,0,0,0,0
119,0.1035,0.0515,0.097,0,0.046,0,0,0.008,0,0.005,0,0,0.073,0.02,0,0,0,0,0,0,0,0,0,0,0,0
120,0.131666667,0.090333333,0.09,0,0.038,0,0.007,0.012,0,0.005,0.068,0,0,0,0,0.068,0,0,0.017,0,0,0.018,0,0,0,0
121,0.067,0.0255,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,85.37566667,85.32533333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
123,14.028,13.78433333,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,0.158666667,0.111333333,1.056166667,1.824,0.621833333,0.095,0.014,0.006,0.8725,0.508,0.897,0.5305,0,0,0.954,0,0.081,0,0.066,0,0,0.035,0,0,0,0
125,0.113,0.072333333,0.136,0,0.071,0,0,0.009,0,0.011,0,0.03,0,0,0,0.108,0,0,0,0,0,0,0,0,0,0
126,0.1124,0.0698,0.109,0,0.0515,0,0.007,0.007333333,0,0.007,0,0.022,0.079,0,0.088,0,0,0.022,0,0,0,0,0,0,0,0
127,0.27375,0.22475,0.374,0,0.2475,0,0.009,0.0105,0,0.358,0,0,0,0,0,0,0,0.025,0.381,0,0.096,0,0.579,0,0,0
128,0.188333333,0.142333333,0.108333333,0.092,0.050666667,0,0.007,0,0,0.008,0,0,0,0.024,0,0.081,0,0.021,0.023,0,0,0,0,0,0.075,0
129,0.115166667,0.0768,0.113,0,0.0535,0.025,0.0085,0.008666667,0,0,0,0,0.083,0,0,0,0,0.023,0,0,0,0,0,0.087,0,0
130,0.1405,0.073666667,0.136,0.11,0.051,0,0.005,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0
131,0.1034,0.0534,0.122,0,0.055,0,0.007,0.01075,0,0,0.09,0,0,0,0,0,0,0,0.022,0,0,0,0,0,0,0
132,75.22775,75.1845,150.2975,0,150.1745,0,0.007,0.0155,0,0,0,0,0,0.024,0,0,0,0,0,0,300.39,0,0.088,0,0,1
133,0.1315,0.08375,0.11,0,0.052,0,0.011,0.007,0,0.009,0,0,0.086,0.026,0,0,0,0,0,0.077,0,0,0,0,0,0
134,0.075,0.027,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,0.1405,0.084,0.115,0,0.051,0,0,0.006,0,0.005,0,0,0,0.02,0,0,0,0,0,0.086,0,0,0,0,0,0
136,0.188,0.1305,0.102,0,0.046,0.024,0.008,0,0,0.01,0,0.018,0,0,0.072,0,0,0,0,0,0,0,0.084,0,0,0
137,0.168666667,0.12875,0.122666667,0.099,0.059333333,0,0.008,0.011,0,0.006,0,0.025,0,0,0.094,0,0.093,0.0235,0,0,0,0,0,0,0,0
138,10.22733333,10.17833333,30.444,0,30.382,0,0.066,0.0125,0,0.019,0,0,0,0,0,0,0,0,0.0845,30.42,0,0,0,0,0,0
139,0.1308,0.0758,0.1215,0,0.067,0,0.01,0.008333333,0,0.04,0.082,0.057,0,0.025,0,0,0,0,0,0,0,0,0,0,0.109,0
140,0.1615,0.119,0.109333333,0,0.052333333,0.026,0,0.019,0,0.009333333,0,0,0,0.0235,0.08,0,0,0,0,0.088,0,0,0.081,0,0,0
141,0.235,0.18,0.119,0,0.053,0,0,0,0,0.007,0,0,0.087,0.023,0,0,0,0,0,0,0,0,0,0,0,0
142,0.11625,0.055,0.117,0,0.055,0,0,0.007,0,0.008,0,0,0.092,0,0,0,0,0,0,0,0,0.024,0,0,0,0
143,0.113666667,0.067,0.111,0,0.054,0,0.005,0.01,0,0,0,0,0,0,0,0,0,0,0,0.086,0,0.02,0,0,0,0
144,67.98275,67.9185,135.6935,0,0,0,0,0.0135,0,0,120.717,0,0,0,0,150.61,0,0,0,0,0,0,0,0,0,1
145,85.986,85.8765,85.788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.724,0,0,0,70.72,0,0
146,20.735,20.63566667,30.8595,0,0,0,0,0.012,0,0,10.729,0,0,0,0,50.716,0,0,0,0,0,0,0,0,0,0
147,0.2515,0.19975,0.684,0,0.305,0.022,0.018666667,0.008333333,0,0.015,0,0,0,0.086,0,0.646,0,0,0.109666667,0,0,0,0,0,0,0
148,0.14,0.0935,0.115,0,0.059,0,0.01,0.011,0,0,0.089,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0
149,0.109666667,0.064666667,0.107,0,0.047,0,0,0.011,0.079,0.005,0,0,0,0.019,0,0,0,0,0,0,0,0,0,0,0,0
150,0.121666667,0.074333333,0.114,0,0.055,0.026,0.011,0.012,0,0,0,0,0,0,0.086,0,0,0,0,0,0,0,0,0,0,0
151,0.073,0.023,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,0.075,0.028,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,0.1865,0.13775,0.105,0,0.04975,0,0.006666667,0,0,0.008,0,0.024,0,0,0,0,0,0,0.022,0.0795,0.078,0.0205,0.077,0,0,0
154,0.081,0.0285,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,100.444,100.389,100.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
156,0.1065,0.05925,0.116,0,0.055,0,0,0.009333333,0,0.005,0,0,0.089,0.02,0,0,0,0,0,0,0,0,0,0,0,0
157,0.07,0.028,0,0,0.074,0,0.012,0.010333333,0,0,0,0,0,0,0,0,0.116,0,0,0,0,0.028,0,0,0,0
158,0.1448,0.1004,0.116,0,0.058666667,0,0.005666667,0.0105,0.103,0,0,0,0.081,0,0,0,0,0.022,0,0,0,0.022,0.084,0,0,0
